RESID,NAME,ADDRESS,CONTACT,TIMINGS,DAYS OPEN,CUISINE,DINING RATING,DELIVERY RATING,KNOWN FOR,PEOPLE LIKED,TOP DISHES,HIGHLIGHTS,AVERAGE COST
19183764,New Pizza King,"Plot 7, 8, Rana Market, Below Easyday, Saket Colony Road, Shahganj, Agra","+915624306452, +916397628664",11am - 11pm,Mon-Sun,Pizza,4.1,4.4,,Courteous Staff,"Pizza, Pasta","Home Delivery, Indoor Seating, ",Rs. 200 for two people (approx.)
18966639,Fakira,"Sector 16 B, Near Gurudwara Flyover, Kar Kunj Chauraha, Avas Vikas Colony, Lohamandi, Near Sikandra, Agra","+918449900017, +918449900018",2pm - 12:30am,Mon-Sun,"North Indian, Chinese, Continental, Fast Food",4.0,3.9,,"Prompt Service, Rooftop Ambience, Rooftop Cafe","Brownie, Cocktails, Mocktails, White Sauce Pasta, Momos","Home Delivery, Live Sports Screening, Free Wifi, Private Dining Area Available, Live Entertainment, Rooftop, Smoking Area, Indoor Seating, Kid Friendly, Free Parking, Outdoor Seating, Available for Functions, Karaoke, ","Rs. 1,000 for two people (approx.)"
3400328,Chopstix,"G-5/32, Opposite LIC Building, Sanjay Place, Civil Lines, Agra","+917060769355, +917060769355",12:30pm - 10:30pm,Mon-Thu,Chinese,4.1,3.9,,,"Noodle, Chilli Chicken, Chilli Garlic Noodles, Hakka Noodles, Veg Manchurian, Honey Chilli Potatoes","Home Delivery, Indoor Seating, ",Rs. 600 for two people (approx.)
3401582,Chainess,"Shop G-11, 12 &amp; 13, Block 34/2, Opposite LIC Building, Civil Lines, Agra",+915624302727,9am - 11pm,Mon-Sun,"Tea, Fast Food",4.5,4.3,,,"Tea, Dabeli, Masala Chai, Bun Maskas, Samosa Bun, Adrak Wali Chai, Sandwich","Home Delivery, Indoor Seating, ",Rs. 200 for two people (approx.)
3400036,Chota Mama Chicken & Mama Veg,"Super Bazar, Near Kargil Petrol Pump, Sector 9, Avas Vikas Colony, Sikandra, Agra","+919027449666, +918923344714",11am - 11pm,Mon-Sun,North Indian,3.7,3.9,,,Chicken Biryani,"Home Delivery, Indoor Seating, ",Rs. 700 for two people (approx.)
3400230,Anand He Anand Bhojanalaya,"Delhi Gate, Raja Mandi Station Road, Civil Lines, Agra","+915622526042, +919897243948, +915624033662","12midnight - 5:59am, 6am - 12midnight",Mon,North Indian,4.0,4.3,,,"Naan, Dal Makhani","Breakfast, Home Delivery, Vegetarian Only, Indoor Seating, ",Rs. 300 for two people (approx.)
3401164,Dosa Plaza & North Indian Restaurant,"UGF 3, Vimal Plaza, 61 Surya Nagar, Opposite Civil Court, Khandari, Agra","+918126616574, +915624309999",11am - 11pm,Mon-Sun,"South Indian, North Indian, Chinese",3.9,4.0,,Decor,"Noodle, Thali","Home Delivery, Indoor Seating, ",Rs. 600 for two people (approx.)
3400696,The Forest,"2A/Sec 4B, Etah Plaza, Central Park Road, Avas Vikas Colony, Agra",+919997608186,12:30pm - 10:45pm,Mon-Sun,Indian,4.0,4.2,,,"Dal Makhani, Panneer Butter Masala, Kadhai Paneer, Pizza","Home Delivery, Indoor Seating, Free Parking, Kid Friendly, ",Rs. 800 for two people (approx.)
3400060,Taj Bano - ITC Mughal,"ITC Mughal, Fatehabad Road, Tajganj, Agra",+915624021700,"6am - 10:30am, 12:30pm - 2:30pm, 7pm - 10:30pm",Mon-Sun,"Mughlai, North Indian",4.0,,,,"Breakfast Buffet, Cheesecake, Dal Makhani","Full Bar Available, Indoor Seating, 4/5 Star, Table reservation required, Valet Parking Available, Serves Cocktails, Table booking recommended, Wifi, ","Rs. 2,500 for two people (approx.) Without alcohol"
3400455,New Moon Light Restaurant,"Beside Income Tax Office, Civil Lines, Agra",+919149036331,11am - 11pm,Mon-Sun,North Indian,3.9,4.2,,,"Rajma Chawal, Shahi Paneer, Kadhai Paneer, Deluxe Thali","Home Delivery, Vegetarian Only, Indoor Seating, ",Rs. 350 for two people (approx.)
3401174,The Chocolate Room,"Shop G-4 TDI Mall, Fatehabad Road, Tajganj, Agra",+916398846561,10am - 12midnight,Mon-Sun,"Desserts, Mexican, Italian, Fast Food",4.4,3.8,,,"Pasta, Pizza, Brownie, Waffles, Hot Chocolate, Nachos, Chocolate Bomb","Home Delivery, Table booking recommended, Indoor Seating, Free Parking, Desserts and Bakes, ",Rs. 800 for two people (approx.)
