RESID,NAME,ADDRESS,CONTACT,TIMINGS,DAYS OPEN,CUISINE,DINING RATING,DELIVERY RATING,KNOWN FOR,PEOPLE LIKED,TOP DISHES,HIGHLIGHTS,AVERAGE COST
3401344,Cafe Turquoise Cottage,"76, 2nd floor, Fatehabad Road, Near Amar Hotel, Tajganj, Agra",+918006807333,12noon - 11:55pm,Mon-Sun,"North Indian, Chinese, Continental, Italian, Pizza, Desserts",4.3,4.4,,"Courteous Staff, Friendly Staff, Prompt Service, Decor, Rooftop Ambience, Dj","Pizza, Cocktails, Lamb, Keema Pav, Chicken Tikka, Naan, Fish Finger","Home Delivery, Full Bar Available, Table reservation required, Live Music, Smoking Area, Indoor Seating, Wifi, ","Rs. 1,500 for two people (approx.) Without alcohol"
3400838,Sugar N Thyme,"1374 K/1375 K, Ground Floor, Dinesh Nagar, Fatehabad Road, Tajganj, Agra",+917906272866,8am - 8:30pm,Mon-Sun,"Cafe, Chinese, Continental, Italian, Bakery, Desserts",4.7,3.9,,"Courteous Staff, Friendly Staff, Cozy Ambience","Pizza, Pasta, Burgers, Noodle, Nutella Waffle, Pancakes, Maggi","Home Delivery, Outdoor Seating, Table booking recommended, Desserts and Bakes, Indoor Seating, Free Wifi, ","Rs. 1,000 for two people (approx.)"
3400628,Deviram Food Circle,"23-24, Pushpanjali Commercial Complex, Sikandra-Bodla Road, Suruchipuram Colony, Sikandra, Agra",+917300625798,8am - 10pm,Mon-Sun,"Mithai, Fast Food, Street Food, North Indian",4.2,4.0,,,"Chole Bhature, Thali, Paneer Tikka","Home Delivery, Vegetarian Only, Free Parking, Desserts and Bakes, Indoor Seating, ",Rs. 200 for two people (approx.)
3400346,Sheroes Hangout,"R.K.Puram Phase 2, Tajnagri, Agra","+917533083502, +915624000401",10am - 9pm,Mon-Sun,"Cafe, North Indian, Chinese",4.7,3.3,Operations run by acid attack survivors & pay-what-you-want service,Decor,"Honey Chilli Potatoes, Fries, Burgers, Corn Burger, White Sauce Pasta, Lassi, Kadhai Paneer","Breakfast, Home Delivery, Vegetarian Only, Outdoor Seating, Indoor Seating, Wifi, ",Rs. 200 for two people (approx.)
3400391,Chapter 1 Cafe,"1374 K/1375 K, 2nd floor, Dinesh Nagar, Fatehbad Road, Tajganj, Agra",+919634340009,11am - 11pm,Mon-Sun,"Cafe, Italian, Mexican, North Indian, Continental, Desserts",4.1,3.4,,"Friendly Staff, Rooftop Ambience, Decor, Rooftop Area","Fajita, Pasta, Pizza, Mocktails, Cocktails, Nachos, Biryani","Home Delivery, Full Bar Available, Free Wifi, Wifi, Free Parking, Rooftop, Live Sports Screening, Indoor Seating, ","Rs. 1,000 for two people (approx.) Without alcohol"
3400853,Mocha,"1448 - 1453 tajganj, Fatehabad Road, Tajganj Agra",+917248700999,11am - 12midnight,Mon-Sun,"Cafe, Italian, Chinese, Continental, North Indian",4.5,3.2,,"Courteous Staff, Friendly Staff, Prompt Service, Rooftop Ambience, Decor, Rooftop Setting","Pizza, Burgers, Bannoffee Pie, Coffee, Pink Sauce Pasta, Chaat, Chocolate Avalanche","Home Delivery, Full Bar Available, Live Sports Screening, Indoor Seating, Free Wifi, Smoking Area, Live Entertainment, Rooftop, Table reservation required, ","Rs. 1,500 for two people (approx.) Without alcohol"
18895858,Guru Kripa Yadav Dhaba,"Delhi Gate, Raja Mandi Station Road, Civil Lines, Agra",+917906293714,12noon - 1am,Mon-Sun,North Indian,4.0,4.2,,,Shahi Paneer,"Home Delivery, Indoor Seating, ",Rs. 150 for two people (approx.)
3400278,Atlantic Foods,"G 26 114//2, Deep Shikha Tower, Sanjay Place, Civil Lines, Agra","+915622525030, +919557741234, +919997859123",11am - 11pm,Mon-Sun,"Bakery, Desserts, Sandwich, Burger, Pizza, Fast Food",4.0,4.3,,,"Chicken Sandwich, Burgers, Coffee","Home Delivery, Desserts and Bakes, Gluten Free Options, Free Parking, Indoor Seating, ",Rs. 400 for two people (approx.)
3400131,Jain Restaurant,"110, Jaipur House Market, Opposite Commercial Tax Office, Jaipur House Colony, Lohmandi, Shahganj, Agra",+917017787609,10am - 11pm,Mon-Sun,"North Indian, South Indian",4.5,4.1,,,"Kadai Paneer, Panneer Butter Masala, Naan, Kadhai Paneer, Shahi Paneer, Dal Makhani","Home Delivery, Vegetarian Only, Indoor Seating, Serves Jain Food, ",Rs. 500 for two people (approx.)
3400392,Thaaliwala,"29/A/2, Fatehabad Road, Tajganj, Agra","+919536932113, +919319943346",8am - 11pm,Mon-Sun,"North Indian, Fast Food",4.1,4.1,,"Efficient Service, Prompt Service, Decor","Thali, Kheer, Raita, Lassi, Dal Makhani, Vegetable Biryani, Vegetarian","Breakfast, Home Delivery, Vegetarian Only, Indoor Seating, ",Rs. 700 for two people (approx.)
3400840,Subway,"Shop 37, Ground Floor, Omaxe SRK Mall, NH 2, Near Bhagwan Talkies, Khandari, Agra",+915624052555,24 Hours,Mon-Sun,"Fast Food, Healthy Food, Sandwich, Salad",4.2,4.1,,,Salad,"Breakfast, Home Delivery, Indoor Seating, ",Rs. 500 for two people (approx.)
18888066,Kiskey Whiskey,"Floor 2, 119/8, Ashok Cosmos Mall, Sanjay Place, Civil Lines, Agra","+918755027000, +918755028000",12noon - 12midnight,Mon-Sun,"North Indian, Continental, Chinese",4.6,,,"Friendly Staff, Prompt Service, Decor","Cocktails, Mocktails, Nachos, White Sauce Pasta, Pizza Pie, Vietnamese Roll, Deep Dish Pizza","Full Bar Available, Indoor Seating, ",Rs. 700 for two people (approx.) with alcohol
3401310,Shree Balaji Family Restaurant,"Paschim Puri, Sulabh Puram Colony, Sikandra, Agra","+918126503638, +918273727182",11am - 11pm,Mon-Sun,"Biryani, North Indian, Mughlai, Awadhi, Beverages",4.0,3.8,,,"Shahi Paneer, Mixed Vegetables, Paneer Dosa, Panneer Butter Masala, Masala Dosa","Home Delivery, Indoor Seating, ",Rs. 400 for two people (approx.)
3401781,Agarwal Restaurant Sweets And Dairy,"Anjali Puram, Avadh Puri, Shahganj, Agra","+917983596060, +919927293061",8am - 10pm,Mon-Sun,"North Indian, Beverages, South Indian, Fast Food, Pizza",4.1,4.2,,,"Thali, Chole Bhature","Breakfast, Home Delivery, Indoor Seating, ",Rs. 300 for two people (approx.)
3400059,Peshawri - ITC Mughal,"ITC Mughal, Fatehabad Road, Tajganj, Agra",+915624021700,"12:30pm - 2:45pm, 7pm - 11:45pm",Mon-Sun,"North Indian, Mughlai",4.6,,,"Courteous Staff, Decor","Dal Bukhara, Naan, Rasmalai, Paneer Khurchan, Sikandari Raan, Murgh Makhani, Pudina Paratha","Full Bar Available, Valet Parking Available, Indoor Seating, 4/5 Star, Table reservation required, Serves Cocktails, Table booking recommended, Wifi, ","Rs. 6,000 for two people (approx.) Without alcohol"
3400301,Anant Restaurant,"Avas Vikas Colony, Kamla Nagar, Agra",+919412169988,12noon - 11pm,Mon-Sun,South Indian,4.3,4.3,,,"Masala Dosa, Noodle, Chole Bhature","Home Delivery, Vegetarian Only, Indoor Seating, ",Rs. 350 for two people (approx.)
3400263,Rambabu Parantha Bhandar,"6/127, Belanganj Rd, Nala Bharon, Gopal Bazar, Belanganj, Civil Lines, Agra, Uttar Pradesh 282004","+918006575726, +919410424824",10am - 11pm,Mon-Sun,North Indian,4.1,,,,"Lassi, Paneer Parantha, Sweet Paratha, Aloo Paratha","Vegetarian Only, Indoor Seating, Serves Jain Food, ",Rs. 600 for two people (approx.)
3400174,Ram Babu Parathe Wale,"Shop 5, NH2, Sikandra, Agra",+915623214762,11am - 10:45pm,Mon-Sun,Fast Food,3.7,4.0,,,"Thali, Meva Paratha, Aloo Sabji, Paneer Parantha","Breakfast, Home Delivery, Vegetarian Only, Indoor Seating, ",Rs. 700 for two people (approx.)
3400382,Gurgaonwala,"21/143, Lakshmi Kunj, Shivaji Nagar, Shahganj, Agra",+919756919999,5:30pm - 10:30pm,Mon-Sun,Fast Food,,3.7,,,"Pasta, Momos","Home Delivery, ",Rs. 300 for two people (approx.)
3401243,Campus Bakers,"17, Pushpanjali Complex, Shastri Puram Road, Near Kargil Petrol Pump, Suruchipuram Colony, Lohamandi, Sikandra Agra",+918171460737,10am - 11pm,Mon-Sun,"Fast Food, Bakery",,4.2,,,"Cheese Sandwich, Cheese Patty, Cheese Burger","Home Delivery, ",Rs. 300 for two people (approx.)
3400348,G Thal,"3/20, KPS Tower, Near Tulsi Talkies, Bypass Road, Khandari, Agra",+915624032727,"11:30am - 3pm, 7pm - 11pm",Mon-Sun,"Rajasthani, Gujarati, Mughlai",3.9,4.1,,Decor,"Thali, Kheer, Roti, Dal Bati Churma, Shahi Paneer, Dal Makhani","Home Delivery, Vegetarian Only, Table booking recommended, Indoor Seating, ",Rs. 900 for two people (approx.)
3400685,Shan E Hind,"Shop 10/11, Shopping Arcade, Sadar Bazar, Agra Cantt, Agra",+917900770770,11am - 11pm,Mon-Sun,North Indian,4.0,4.1,,,"Butter Chicken, Mutton Korma, Chicken Roll, Noodle","Home Delivery, Indoor Seating, ",Rs. 450 for two people (approx.)
3400737,Bercos,"G-14-13 Friends Wasan Plaza, Behind Hotel Holiday Inn, Sanjay Place",+915624304442,12:30pm - 11pm,"Mon, Wed-Sun","Chinese, Thai",4.1,4.2,,,"Thai Noodles, Fruit Beer, Honey Chilli Potatoes, Spring Roll, Thukpa, Pad Thai Noodle, Brownie Chocolate","Home Delivery, Serves Alcohol, Indoor Seating, ",Rs. 800 for two people (approx.) Without alcohol
3400934,Shree Bankey Bihari Misthan Bhandar,"Freedom Plaza, 10B, Karkunj Road, Avas Vikas Colony, Sikandra, Agra, Uttar Pradesh 282007",+918475838047,8am - 10:30pm,Mon-Sun,"Mithai, Street Food, South Indian, Chinese",4.2,4.4,,,"Pav Bhaji, Dhokla, Paneer Dosa","Home Delivery, Vegetarian Only, Indoor Seating, ",Rs. 300 for two people (approx.)
3401309,Pari Family Restaurant,"Shri Ram Complex, MK Puram, Sikandra, AGra",+919634975001,11am - 11pm,Mon-Sun,"North Indian, Fast Food, South Indian",4.1,3.9,,,Shahi Paneer,"Indoor Seating, ",Rs. 400 for two people (approx.)
3400967,Fruck,Khandari Rd,+919528150299,5pm - 11pm,"Mon, Wed-Sun",Street Food,,3.9,,,"Salad, White Sauce Pasta, Butter Chicken, Peri Peri Fries, Honey Chilli Potatoes, Paneer Wrap, Boiled Chicken","Home Delivery, Self Service, ",Rs. 400 for two people (approx.)
3400325,MoMo Cafe - Courtyard By Marriott,"Courtyard by Marriott Agra, Phase 2, Fatehabad Road, Tajganj, Agra","+919312214904, +918392903877, +915622457770",6:30am - 11pm,Mon-Sun,"Italian, North Indian, Fast Food, Continental, Beverages, Asian",4.5,,,"Live Music, Decor","Salad, Biryani, Chaat, Dal Makhani, Breakfast Buffet, Pasta, Panipuri","Breakfast, Wheelchair Accessible, Valet Parking Available, Table booking recommended, Smoking Area, Wifi, Outdoor Seating, Luxury Dining, Buffet, ","Rs. 2,000 for two people (approx.)"
3400319,Agra Chat House,"Chaat Gali, Sadar Bazar, Agra Cantt, Agra",+919719011167,2pm - 11pm,Mon-Sun,Street Food,,4.1,,,"Chaat, Aloo Tikki, Dahi Bhalle, Gol Gappe, Panipuri, Pav Bhaji, Dahi Papdi","Breakfast, Home Delivery, Vegetarian Only, ",Rs. 150 for two people (approx.)
19060078,Rolls Nation,"Shop 23/453, Above Pinch Of Spice, K-3 Market, Wazirpura Road, Sanjay Palace, Civil Lines, Agra",+919206492068,11am - 11pm,Mon-Sun,"Rolls, Fast Food",4.3,4.2,,,"Rolls, Corn Roll, Chicken Roll, Pasta, Burgers, Pizza Roll, Sandwich","Breakfast, Home Delivery, Indoor Seating, Free Wifi, ",Rs. 250 for two people (approx.)
